pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key,tier,oa_status,oa_pdf_url,publisher
42552825,10.1111/petr.70422,2026,post,Pediatric transplantation,Journal Article,"Functional, Volumetric, and Growth Outcomes After Pediatric Bilateral Lung Transplantation.",Kim YT,South Korea,1,False,,kim yt|south korea,unresolved,,,
42544909,10.1080/07853890.2026.2705636,2026,post,Annals of medicine,Journal Article,Importance of psychiatric evaluation and long-term outcomes of delirium in lung transplant recipients.,Park MS,South Korea,1,False,,park ms|south korea,OA,gold,https://doi.org/10.1080/07853890.2026.2705636,Informa UK Limited
42521131,10.1016/j.healun.2026.07.029,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Global Approaches to Chronic Lung Allograft Dysfunction: Toward Evidence-Based Harmonization.,Vos R,Belgium,1,False,,vos r|belgium,Elsevier,closed,,Elsevier BV
42521129,10.1016/j.healun.2026.07.031,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Cytotoxic CD8+ T Cells Persist and Show Transcriptional Priming in Lung Transplantation.,Hayes D,United States,1,False,,hayes d|united states,OA,hybrid,https://www.jhltonline.org/article/S1053-2498(26)02009-7/pdf,Elsevier BV
42499651,10.1016/j.jhlto.2026.100615,2026,post,JHLT open,Journal Article,Outcomes of lung transplantation using TorEx ex-vivo lung perfusion.,Cypel M,Canada,2,True,,cypel m|canada,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00136-9/pdf,Elsevier BV
42486391,10.1016/j.ajt.2026.07.018,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,"CMV Infection after Lung Transplant: incidence, risk factors and management in a multi-center cohort.",Kumar D,Canada,2,True,registry,kumar d|canada,Elsevier,closed,,Elsevier BV
42456799,10.1016/j.jtcvs.2026.07.002,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,Outcomes and treatment of early detectable donor-specific anti-HLA antibodies after lung transplantation: insights from a 12-year experience.,Ius F,Germany,1,False,,ius f|germany,OA,hybrid,https://www.jtcvs.org/article/S0022-5223(26)01148-7/pdf,Elsevier BV
42448497,10.1016/j.transproceed.2026.06.027,2026,post,Transplantation proceedings,Journal Article,Surgical Site Infection in Lung Transplantation: Clinical Impact and Predictive Factors: Analysis From the Portuguese Lung Transplantation Center.,Semedo L,,0,False,,semedo l|,OA,hybrid,https://www.sciencedirect.com/science/article/pii/S0041134526003210/pdf,Elsevier BV
42448009,10.1016/j.healun.2026.07.001,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Dynamic contrast-enhanced MRI quantifies microvascular changes in lung transplant recipients with chronic lung allograft dysfunction.,Montesi SB,,0,False,,montesi sb|,Elsevier,closed,,Elsevier BV
42444974,10.21037/jtd-2026-1-0260,2026,post,Journal of thoracic disease,Journal Article,Dangerous liaisons: the peri-transplant respiratory microbiota and their impact on lung transplantation outcomes.,Obermeier KT,Germany,1,True,registry,obermeier kt|germany,OA,gold,https://doi.org/10.21037/jtd-2026-1-0260,AME Publishing Company
42442626,10.1016/j.healun.2026.07.009,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Mapping the mTOR pathway in lung transplantation: Is it time for a biomarker-driven precision therapy?,Calabrese F,Italy,3,True,registry,calabrese f|italy,OA,hybrid,https://doi.org/10.1016/j.healun.2026.07.009,Elsevier BV
42433010,10.1111/tid.70275,2026,post,Transplant infectious disease : an official journal of the Transplantation Society,Journal Article,Incidental Detection of Respiratory Viruses in Lung Transplant Donor-Recipient Pairs: Exploratory Associations With Clinical Outcomes in a Post Hoc Analysis.,Bandera A,Italy,1,False,,bandera a|italy,OA,hybrid,https://doi.org/10.1111/tid.70275,Wiley
42425730,10.1183/13993003.00537-2025,2026,post,The European respiratory journal,Journal Article,Aberrant and Ectopic Cell Populations in Restrictive Allograft Syndrome after Lung Transplantation.,Schupp JC,Germany,4,True,,schupp jc|germany,Other-paywall,closed,,European Respiratory Society (ERS)
42419340,10.1016/j.lanmic.2026.101352,2026,post,The Lancet. Microbe,Journal Article,"Non-Aspergillus fumigatus mould infections in lung transplant recipients: an international, multicentre, case-control study.",Husain S,United States,7,True,registry,husain s|united states,OA,gold,https://doi.org/10.1016/j.lanmic.2026.101352,Elsevier BV
42404562,10.3389/fmed.2026.1851797,2026,post,Frontiers in medicine,Journal Article,Lung transplantation from polytrauma donors: beyond primary graft dysfunction.,Luzzi L,Italy,1,False,,luzzi l|italy,OA,gold,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1851797/pdf,Frontiers Media SA
42396924,10.1111/ctr.70605,2026,post,Clinical transplantation,Journal Article,Incidence and Impact of RAS-Like Opacities During Preserved Lung Function After Lung Transplantation.,Raivio PM,,0,False,,raivio pm|,Wiley,closed,,Wiley
42392829,10.1183/13993003.02380-2025,2026,post,The European respiratory journal,Journal Article,A Transcriptomic Atlas of Chronic Lung Allograft Dysfunction.,Vos R,Belgium,6,True,,vos r|belgium,Other-paywall,closed,,European Respiratory Society (ERS)
42392286,10.1016/j.healun.2026.06.016,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Alveolar macrophage activation and polarization signatures in stable lung transplant recipients and chronic lung allograft dysfunction.,Kühnel MP,Germany,2,True,,kühnel mp|germany,OA,hybrid,https://www.jhltonline.org/article/S1053-2498(26)01977-7/pdf,Elsevier BV
42344702,10.1097/txd.0000000000001967,2026,post,Transplantation direct,Journal Article,Prevent or Treat? Evaluating a Delayed Treatment With Nintedanib After Murine Orthotopic Tracheal Transplantation.,Heim C,Germany,1,False,,heim c|germany,OA,gold,https://doi.org/10.1097/txd.0000000000001967,Ovid Technologies (Wolters Kluwer Health)
42335329,10.1097/tp.0000000000005818,2026,post,Transplantation,Journal Article,Determinants of Baseline Lung Allograft Dysfunction and its Long-term Impact on Pulmonary Function After Bilateral Lung Transplantation.,Sáez-Giménez B,Spain,2,True,,sáez-giménez b|spain,WoltersKluwer,closed,,Ovid Technologies (Wolters Kluwer Health)
42335172,10.1371/journal.pmed.1004725,2026,post,PLoS medicine,Journal Article,Multi-omics biomarkers of endothelial dysregulation preceding chronic lung allograft dysfunction: A prospective cohort study.,Marsland BJ,Australia,1,True,registry,marsland bj|australia,OA,gold,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1004725&type=printable,Public Library of Science (PLoS)
42329011,10.36141/svdld.2026.18338,2026,post,"Sarcoidosis, vasculitis, and diffuse lung diseases : official journal of WASOG",Journal Article,Outcomes of Lung Transplantation for Pulmonary Sarcoidosis Across Multiple Eras: A 25-Year Experience from a US Center.,Aryal S,United States,1,False,,aryal s|united states,unresolved,,,
42317783,10.1016/j.jhlto.2026.100595,2026,post,JHLT open,Journal Article,Size-matching in lung transplantation using the adjusted total lung capacity ratio.,Nasir BS,Canada,2,True,,nasir bs|canada,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00116-3/pdf,Elsevier BV
42309233,10.1016/j.rmed.2026.108944,2026,post,Respiratory medicine,Journal Article,"High-density lipoprotein cholesterol influences the outcomes of lung transplantation in females, but not males.",Ayyat KS,United States,1,False,,ayyat ks|united states,OA,hybrid,https://doi.org/10.1016/j.rmed.2026.108944,Elsevier BV
42302385,10.1097/rlu.0000000000006557,2026,post,Clinical nuclear medicine,Journal Article,Diagnostic Value of Quantitative Lung Perfusion Single-photon Emission CT/CT for Chronic Lung Allograft Dysfunction in Patients After Bilateral Lung Transplantation.,Takao H,Japan,1,False,,takao h|japan,OA,hybrid,https://doi.org/10.1097/rlu.0000000000006557,Ovid Technologies (Wolters Kluwer Health)
42294095,10.3389/ti.2026.16293,2026,post,Transplant international : official journal of the European Society for Organ Transplantation,Journal Article,Blood vessels as primary site of rejection in murine lung transplantation.,Vanaudenaerde BM,Belgium,3,True,registry,vanaudenaerde bm|belgium,OA,gold,https://www.frontierspartnerships.org/journals/transplant-international/articles/10.3389/ti.2026.16293/pdf,Frontiers Media SA
42292970,10.1016/j.jhlto.2026.100585,2026,post,JHLT open,Journal Article,Sotatercept treatment in a patient with end-stage bronchiolitis obliterans syndrome after lung transplantation.,Seethamraju H,,0,False,,seethamraju h|,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00106-0/pdf,Elsevier BV
42271353,10.1186/s12890-026-04337-5,2026,post,BMC pulmonary medicine,Journal Article,Risk factors for nontuberculous mycobacteria infection in lung transplant recipients.,Chen W,Japan,2,True,,chen w|japan,OA,gold,https://doi.org/10.1186/s12890-026-04337-5,Springer Science and Business Media LLC
42264281,10.1016/j.healun.2026.06.004,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Approach to prevention and management of chronic lung allograft dysfunction in North American lung transplant centers.,,Canada,1,True,registry,,OA,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC13334939/,Elsevier BV
42256236,10.1016/j.jhlto.2026.100575,2026,post,JHLT open,Journal Article,Early detection of chronic lung allograft dysfunction with spectral and intrabreath oscillometry.,Chow CW,Canada,2,True,,chow cw|canada,OA,gold,https://doi.org/10.1016/j.jhlto.2026.100575,Elsevier BV
42252026,10.1016/j.ajt.2026.05.2303,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Myeloid-avid mammalian target of rapamycin-inhibiting nanobiologic attenuates allograft fibrosis after lung transplantation.,Kreisel D,United States,1,True,registry,kreisel d|united states,OA,bronze,https://www.amjtransplant.org/article/S1600-6135(26)02582-7/pdf,Elsevier BV
42244392,10.1111/tan.70786,2026,post,HLA,Journal Article,Non-HLA Autoantibodies Associate With a Positive Flow-Crossmatch Pre- and Chronic Lung Allograft Dysfunction Post- Lung Transplant.,Westall G,Australia,1,False,,westall g|australia,OA,hybrid,https://doi.org/10.1111/tan.70786,Wiley
42204416,10.1097/tp.0000000000005773,2026,post,Transplantation,Journal Article,The Downregulation of LKB1 in Small Extracellular Vesicles Elucidates the Downstream Mechanisms Driving Acute Lung Allograft Rejection.,Mohanakumar T,,0,False,,mohanakumar t|,WoltersKluwer,closed,,Ovid Technologies (Wolters Kluwer Health)
42180136,10.1097/txd.0000000000001958,2026,post,Transplantation direct,Journal Article,B6 Donor Lungs Develop Chronic Lung Allograft Dysfunction-like Pathology Across Histocompatibility Mismatches in Murine Lung Transplantation.,Kurihara C,Japan,1,True,registry,kurihara c|japan,OA,gold,https://doi.org/10.1097/txd.0000000000001958,Ovid Technologies (Wolters Kluwer Health)
42163227,10.1186/s12890-026-04346-4,2026,post,BMC pulmonary medicine,Journal Article,The prognostic role of preoperative subcutaneous adipose tissue measurement in lung transplantation.,Wang X,China,1,False,,wang x|china,OA,gold,https://doi.org/10.1186/s12890-026-04346-4,Springer Science and Business Media LLC
42153608,10.1111/ctr.70564,2026,post,Clinical transplantation,Journal Article; Comparative Study,Clinical Implications of Early vs Late Development of Donor-Specific Antibodies Among Lung Transplant Recipients: A Single-Center Experience.,Tokman S,United States,1,False,,tokman s|united states,Wiley,closed,,Wiley
42147823,10.3389/ti.2026.15409,2026,post,Transplant international : official journal of the European Society for Organ Transplantation,Journal Article,Donor-Specific Blood Transfusion Induces a Transfusion-Related Early Protective Effect in Murine Lung Transplantation.,Ceulemans LJ,Belgium,1,False,,ceulemans lj|belgium,OA,gold,https://doi.org/10.3389/ti.2026.15409,Frontiers Media SA
42144087,10.1016/j.healun.2026.05.010,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,The need for clarity among the shadows: It is time to further refine the definition of primary graft dysfunction in lung transplant recipients.,Hoetzenecker K,Austria,4,True,,hoetzenecker k|austria,OA,hybrid,https://www.jhltonline.org/article/S1053-2498(26)01917-0/pdf,Elsevier BV
42111374,10.1183/23120541.00781-2025,2026,post,ERJ open research,Journal Article,Proteomic analysis of bronchoalveolar lavage fluid after lung transplantation associates stable allograft function with less lung damage at 12 months.,Magnusson JM,Sweden,2,True,,magnusson jm|sweden,OA,gold,https://doi.org/10.1183/23120541.00781-2025,European Respiratory Society (ERS)
42105629,10.1016/j.ebiom.2026.106285,2026,post,EBioMedicine,Journal Article,Mechanistic analysis of an IRF7-dependent pathway in virus-induced fibrosis in chronic lung allograft dysfunction.,Sharma NS,United States,2,True,registry,sharma ns|united states,OA,gold,https://doi.org/10.1016/j.ebiom.2026.106285,Elsevier BV
42103135,10.1016/j.jtcvs.2026.04.031,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,A single-center experience of 2000 adult lung transplants.,Nava RG,,0,False,,nava rg|,Elsevier,closed,,Elsevier BV
42089290,10.1093/ajrcmb/aanag048,2026,post,American journal of respiratory cell and molecular biology,Journal Article,Anellovirus-Mediated Interferon Dysregulation Enhances Virus-Induced Lung Injury.,Sharma NS,,0,True,,sharma ns|,Other-paywall,closed,,Oxford University Press (OUP)
42077402,10.1016/j.jhlto.2026.100512,2026,post,JHLT open,Journal Article,Donor-recipient sex differences: Implications for immunologic outcomes but no impact on survival after lung transplantation.,Schuurmans MM,Switzerland,1,False,,schuurmans mm|switzerland,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00033-9/pdf,Elsevier BV
42058137,10.1016/j.jhlto.2026.100548,2026,post,JHLT open,Journal Article,Performance of bilateral bronchoalveolar lavage during routine transplant surveillance bronchoscopy changes management.,Wahidi M,,0,True,registry,wahidi m|,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00069-8/pdf,Elsevier BV
42057776,10.1016/j.jhlto.2026.100498,2026,post,JHLT open,Journal Article,Acute and chronic allograft dysfunction following pediatric lung transplantation.,Brugha R,United Kingdom,1,True,registry,brugha r|united kingdom,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00019-4/pdf,Elsevier BV
42044158,10.1172/jci.insight.196651,2026,post,JCI insight,Journal Article,Single-cell multiomic analysis of mesenchymal cells reveals molecular signatures and regulators of lung allograft fibrosis.,Lama VN,United States,1,False,,lama vn|united states,OA,gold,http://insight.jci.org/articles/view/196651/files/pdf,American Society for Clinical Investigation
42008465,10.1097/tp.0000000000005703,2026,post,Transplantation,Journal Article,The Natural History of Chronic Lung Allograft Dysfunction in Single and Bilateral Orthotopic Lung Transplant Recipients.,Weigt SS,,0,False,,weigt ss|,WoltersKluwer,closed,,Ovid Technologies (Wolters Kluwer Health)
42007764,10.1096/fj.202503694r,2026,post,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,Journal Article,A Potential Novel Molecular Interaction in Bronchiolitis Obliterans Syndrome in Lung Transplantation Patients: The Role of SERPINA3 and Osteoprotegerin.,Burgess JK,Netherlands,2,True,,burgess jk|netherlands,OA,hybrid,https://doi.org/10.1096/fj.202503694r,Wiley
42000481,10.1016/j.resinv.2026.101428,2026,post,Respiratory investigation,Journal Article,Short- and long-term outcomes of anti-thymocyte globulin-based regimen for acute antibody-mediated rejection after lung transplantation.,Toyooka S,Japan,1,True,registry,toyooka s|japan,OA,hybrid,https://doi.org/10.1016/j.resinv.2026.101428,Elsevier BV
41994456,10.3389/fmed.2026.1792506,2026,post,Frontiers in medicine,Journal Article,Lung allograft injury improves after gastroesophageal reflux surgery by donor-derived cell-free DNA kinetics.,Ross DJ,United States,1,False,,ross dj|united states,OA,gold,https://public-pages-files-2025.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1792506/pdf,Frontiers Media SA
41984803,10.1093/rheumatology/keag200,2026,post,"Rheumatology (Oxford, England)",Journal Article; Multicenter Study,"Lung transplant outcomes in myositis, systemic sclerosis and idiopathic pulmonary fibrosis: a multicentre retrospective analysis.",Huang K,Canada,1,True,,huang k|canada,OA,hybrid,https://doi.org/10.1093/rheumatology/keag200,Oxford University Press (OUP)
41977039,10.3390/jcm15072738,2026,post,Journal of clinical medicine,Journal Article,Is Lifelong Physical Activity a Determinant of Lung Transplantation Outcomes?,Żegleń S,Poland,1,False,,żegleń s|poland,OA,gold,https://www.mdpi.com/2077-0383/15/7/2738/pdf?version=1775793323,MDPI AG
41974517,10.1016/j.healun.2026.01.006,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article; Multicenter Study,Acute lung allograft dysfunction predicts lung allograft failure: Construct validity of the 2026 International Society for Heart and Lung Transplantation spirometric definition.,,,0,True,,,OA,hybrid,https://www.jhltonline.org/article/S1053-2498(26)00005-7/pdf,Elsevier BV
41972701,10.3390/cells15070611,2026,post,Cells,Journal Article,Early BAL microRNA Signatures Delineate Biological Trajectories Towards CLAD After Lung Transplantation.,Vaira V,Italy,1,False,,vaira v|italy,OA,gold,https://www.mdpi.com/2073-4409/15/7/611/pdf?version=1774856373,MDPI AG
41935548,10.1016/j.healun.2026.03.032,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,"Journal Article; Randomized Controlled Trial; Clinical Trial, Phase II; Multicenter Study",The ASSIST CLAD study: A phase 2 randomized controlled trial of mesenchymal stromal cells for new-onset chronic lung allograft dysfunction.,Hopkins PMA,Australia,1,True,rct,hopkins pma|australia,Elsevier,closed,,Elsevier BV
41871693,10.1016/j.trim.2026.102380,2026,post,Transplant immunology,Journal Article,Influence of tacrolimus concentration-to-dose ratio on CLAD risk in lung transplant recipients.,Bedouch P,France,1,True,registry,bedouch p|france,OA,hybrid,https://doi.org/10.1016/j.trim.2026.102380,Elsevier BV
41864285,10.1016/j.healun.2026.03.011,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Genome-wide association study reveals two novel genetic loci associated with chronic lung allograft dysfunction.,,Belgium,2,True,,,OA,hybrid,https://www.jhltonline.org/article/S1053-2498(26)01777-8/pdf,Elsevier BV
41857706,10.1186/s12890-026-04153-x,2026,post,BMC pulmonary medicine,Journal Article,When BAL meets CT scan: enhancing noninvasive diagnosis of acute cellular rejection after lung transplantation.,Bennett D,Italy,1,False,,bennett d|italy,OA,gold,https://doi.org/10.1186/s12890-026-04153-x,Springer Science and Business Media LLC
41816390,10.21037/jtd-2025-1845,2026,post,Journal of thoracic disease,Journal Article,Knowledge structure and academic influence in lung transplantation: a systematically bibliometric analysis of highly cited documents and multi-perspective extensive review.,Pu Q,China,1,False,,pu q|china,OA,gold,https://doi.org/10.21037/jtd-2025-1845,AME Publishing Company
41813505,10.1016/j.jcf.2026.03.003,2026,post,Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,Journal Article,The impact of progressive expansion of elexacaftor-tezacaftor-ivacaftor availability on lung transplant for cystic fibrosis in France.,Burgel PR,France,1,False,,burgel pr|france,OA,hybrid,https://doi.org/10.1016/j.jcf.2026.03.003,Elsevier BV
41809978,10.1016/j.jhlto.2026.100519,2026,post,JHLT open,Journal Article,Mapping acute lung allograft dysfunction of unknown cause after lung transplantation: Insights from clinical and radiological patterns.,Bennett D,Italy,1,True,,bennett d|italy,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00040-6/pdf,Elsevier BV
41798058,10.1016/j.jhlto.2026.100513,2026,post,JHLT open,Journal Article,Glucagon-like peptide-1 receptor agonist use and clinical outcomes after lung transplantation: A single-center cohort study.,Kurihara C,,0,False,,kurihara c|,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00034-0/pdf,Elsevier BV
41780717,10.1016/j.jtcvs.2026.02.029,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,Large airway bronchial wash lipidomics as novel biomarkers for chronic lung allograft dysfunction.,D'Ovidio F,,0,False,,d'ovidio f|,Elsevier,closed,,Elsevier BV
41759575,10.1016/j.jmoldx.2026.02.002,2026,post,The Journal of molecular diagnostics : JMD,Journal Article,Different States of Lung Allograft Injury Assessed by Plasma Donor-Derived and Total Cell-Free DNA.,Mitchell ME,,0,False,,mitchell me|,OA,hybrid,https://doi.org/10.1016/j.jmoldx.2026.02.002,Elsevier BV
41756159,10.1016/j.jhlto.2026.100501,2026,post,JHLT open,Journal Article,Lung retransplantation during the Lung Allocation Score era: Outcomes from a large single center.,Arcasoy SM,,0,True,,arcasoy sm|,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00022-4/pdf,Elsevier BV
41756158,10.1016/j.jhlto.2026.100508,2026,post,JHLT open,Journal Article,Lung retransplantation after initial single lung transplantation.,Harano T,,0,True,registry,harano t|,OA,gold,https://www.jhltopen.org/article/S2950-1334(26)00029-7/pdf,Elsevier BV
41753297,10.3390/jcm15041608,2026,post,Journal of clinical medicine,Journal Article,HLA-DQ7 De Novo Donor-Specific Antibodies Are Associated with Increased Risk of Chronic Lung Allograft Dysfunction After Lung Transplantation.,Kauke T,Germany,1,True,,kauke t|germany,OA,gold,https://www.mdpi.com/2077-0383/15/4/1608/pdf?version=1771493788,MDPI AG
41743830,10.1097/txd.0000000000001913,2026,post,Transplantation direct,Journal Article,Lower Limit of Normal of Pulmonary Function to Define Baseline Lung Allograft Dysfunction.,Gottlieb J,Germany,2,True,,gottlieb j|germany,OA,gold,https://doi.org/10.1097/txd.0000000000001913,Ovid Technologies (Wolters Kluwer Health)
41740941,10.1016/j.healun.2026.02.1666,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Human lung allografts experience persistent fibrogenic shift following acute cellular rejection.,Hayes D,Canada,1,False,,hayes d|canada,OA,hybrid,https://doi.org/10.1016/j.healun.2026.02.1666,Elsevier BV
41739903,10.1126/scitranslmed.adu0358,2026,post,Science translational medicine,Journal Article,Lymphatic disruption drives lung transplant fibrosis through interleukin-1-mediated hyaluronan accumulation.,Kreisel D,United States,1,False,,kreisel d|united states,OA,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC13016417/,American Association for the Advancement of Science (AAAS)
41738587,10.1111/tid.70190,2026,post,Transplant infectious disease : an official journal of the Transplantation Society,Journal Article,The Role of Nontuberculous Mycobacteria in Patients With Cystic Fibrosis Advanced Lung Disease.,Mueller NJ,Switzerland,2,True,,mueller nj|switzerland,OA,hybrid,https://doi.org/10.1111/tid.70190,Wiley
41738213,10.1093/ajrcmb/aanag017,2026,post,American journal of respiratory cell and molecular biology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Circulating B7H6 is associated with reduced NKp30 receptor expression and improved lung transplant recipient survival.,Calabrese DR,United States,1,False,,calabrese dr|united states,OA,hybrid,https://doi.org/10.1093/ajrcmb/aanag017,Oxford University Press (OUP)
41738136,10.1093/ajrccm/aamaf055,2026,post,American journal of respiratory and critical care medicine,Journal Article; Multicenter Study,Clinical features associated with chronic lung allograft dysfunction progression in a multicenter cohort.,Palmer SM,United States,1,True,,palmer sm|united states,OA,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC13051689/,Oxford University Press (OUP)
41735096,10.1016/j.ajt.2026.01.017,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Uncontrolled donation after circulatory death lung transplantation program: Clinical outcomes and perspectives for implementation.,Nosotti M,Italy,1,False,,nosotti m|italy,OA,hybrid,https://doi.org/10.1016/j.ajt.2026.01.017,Elsevier BV
41701147,10.1093/ejcts/ezag095,2026,post,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Journal Article,Safety and Effectiveness of Low-Dose Valganciclovir Prophylaxis in Cytomegalovirus Seropositive Lung Transplant Recipients.,Lemström KB,,0,True,registry,lemström kb|,Other-paywall,closed,,Oxford University Press (OUP)
41695191,10.1016/j.jhlto.2025.100449,2026,post,JHLT open,Journal Article,"Cytomegalovirus infections in thoracic organ transplant recipients: Updates on prevention, treatment, and immune monitoring.",Wolfe CR,,0,False,,wolfe cr|,OA,gold,https://www.jhltopen.org/article/S2950-1334(25)00248-4/pdf,Elsevier BV
41690369,10.1016/j.ajt.2026.02.002,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Airway molecular signatures in antibody-mediated lung transplant rejection.,Greenland JR,United States,1,False,,greenland jr|united states,OA,hybrid,https://www.amjtransplant.org/article/S1600-6135(26)00079-1/pdf,Elsevier BV
41679649,10.1016/j.ajt.2026.01.025,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Immune gene correlation networks differentiate both chronic lung allograft dysfunction and survival.,McDyer JF,United States,2,True,,mcdyer jf|united states,OA,bronze,https://www.amjtransplant.org/article/S1600-6135(26)00047-X/pdf,Elsevier BV
41672090,10.1002/resp.70224,2026,post,"Respirology (Carlton, Vic.)",Journal Article; Multicenter Study,Lower CLAD and Good Survival in Lung Transplant Recipients With Pneumoconiosis: A Spanish National Multicentre Case-Control Study.,León-Jiménez A,Spain,3,True,,león-jiménez a|spain,OA,green,https://hdl.handle.net/10902/40239,Wiley
41669771,10.1093/ejcts/ezag094,2026,post,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Journal Article,Long-term Outcome of Lung Retransplantation for Chronic Lung Allograft Dysfunction After En-bloc Heart and Lung Transplantation.,Fadel E,France,1,False,,fadel e|france,Other-paywall,closed,,Oxford University Press (OUP)
41663041,10.1016/j.healun.2026.01.028,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Spatial transcriptomics reveals coordinated endothelial and epithelial activator protein-1 activation in chronic lung allograft dysfunction.,Sharma NS,,0,False,,sharma ns|,OA,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC13274917/,Elsevier BV
41630968,10.1016/j.jhlto.2025.100469,2026,post,JHLT open,Journal Article,Survival improvement with sirolimus plus tacrolimus immunosuppression for treatment of bronchiolitis obliterans syndrome after lung transplantation.,Iacono A,,0,True,registry,iacono a|,OA,gold,https://www.jhltopen.org/article/S2950-1334(25)00268-X/pdf,Elsevier BV
41624215,10.1016/j.jhlto.2025.100473,2026,post,JHLT open,Journal Article,Abnormal spirometry 1 year after lung transplantation may identify patients at risk for chronic lung allograft dysfunction in a multicenter cohort.,Snyder LD,,0,True,,snyder ld|,OA,gold,https://www.jhltopen.org/article/S2950-1334(25)00272-1/pdf,Elsevier BV
41624210,10.1016/j.jhlto.2025.100392,2026,post,JHLT open,Journal Article,Bronchial stenosis after lung transplant: Risk factors and clinical outcomes.,Woolley AE,,0,False,,woolley ae|,OA,gold,https://www.jhltopen.org/article/S2950-1334(25)00187-9/pdf,Elsevier BV
41619918,10.1016/j.healun.2026.01.022,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article; Multicenter Study; Observational Study,Donor-derived cell-free DNA associated with increased risk of chronic lung allograft dysfunction and mortality: Are absolute levels better than percentage?,Agbor-Enoh S,,0,True,,agbor-enoh s|,OA,hybrid,https://www.jhltonline.org/article/S1053-2498(26)00026-4/pdf,Elsevier BV
41574224,10.3389/frtra.2025.1704682,2025,post,Frontiers in transplantation,Journal Article,"The critical relationship between tacrolimus levels, acute kidney injury, and early chronic lung allograft dysfunction.",Behr J,Germany,2,True,,behr j|germany,OA,gold,https://public-pages-files-2025.frontiersin.org/journals/transplantation/articles/10.3389/frtra.2025.1704682/pdf,Frontiers Media SA
41571047,10.1016/j.jtcvs.2026.01.009,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,Optimal size matching leads to a favorable outcome for single-lobe living-donor lung transplantation.,Date H,Japan,1,False,,date h|japan,Elsevier,closed,,Elsevier BV
