pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key
42552825,10.1111/petr.70422,2026,post,Pediatric transplantation,Journal Article,"Functional, Volumetric, and Growth Outcomes After Pediatric Bilateral Lung Transplantation.",Kim YT,South Korea,1,False,,kim yt|south korea
42544909,10.1080/07853890.2026.2705636,2026,post,Annals of medicine,Journal Article,Importance of psychiatric evaluation and long-term outcomes of delirium in lung transplant recipients.,Park MS,South Korea,1,False,,park ms|south korea
42521131,10.1016/j.healun.2026.07.029,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Global Approaches to Chronic Lung Allograft Dysfunction: Toward Evidence-Based Harmonization.,Vos R,Belgium,1,False,,vos r|belgium
42521129,10.1016/j.healun.2026.07.031,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Cytotoxic CD8+ T Cells Persist and Show Transcriptional Priming in Lung Transplantation.,Hayes D,United States,1,False,,hayes d|united states
42499651,10.1016/j.jhlto.2026.100615,2026,post,JHLT open,Journal Article,Outcomes of lung transplantation using TorEx ex-vivo lung perfusion.,Cypel M,Canada,2,True,,cypel m|canada
42486391,10.1016/j.ajt.2026.07.018,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,"CMV Infection after Lung Transplant: incidence, risk factors and management in a multi-center cohort.",Kumar D,Canada,2,True,,kumar d|canada
42456799,10.1016/j.jtcvs.2026.07.002,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,Outcomes and treatment of early detectable donor-specific anti-HLA antibodies after lung transplantation: insights from a 12-year experience.,Ius F,Germany,1,False,,ius f|germany
42448497,10.1016/j.transproceed.2026.06.027,2026,post,Transplantation proceedings,Journal Article,Surgical Site Infection in Lung Transplantation: Clinical Impact and Predictive Factors: Analysis From the Portuguese Lung Transplantation Center.,Semedo L,,0,False,,semedo l|
42448009,10.1016/j.healun.2026.07.001,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Dynamic contrast-enhanced MRI quantifies microvascular changes in lung transplant recipients with chronic lung allograft dysfunction.,Montesi SB,,0,False,,montesi sb|
42444974,10.21037/jtd-2026-1-0260,2026,post,Journal of thoracic disease,Journal Article,Dangerous liaisons: the peri-transplant respiratory microbiota and their impact on lung transplantation outcomes.,Obermeier KT,Germany,1,True,,obermeier kt|germany
42442626,10.1016/j.healun.2026.07.009,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Mapping the mTOR pathway in lung transplantation: Is it time for a biomarker-driven precision therapy?,Calabrese F,Italy,3,True,,calabrese f|italy
42433010,10.1111/tid.70275,2026,post,Transplant infectious disease : an official journal of the Transplantation Society,Journal Article,Incidental Detection of Respiratory Viruses in Lung Transplant Donor-Recipient Pairs: Exploratory Associations With Clinical Outcomes in a Post Hoc Analysis.,Bandera A,Italy,1,False,,bandera a|italy
42425730,10.1183/13993003.00537-2025,2026,post,The European respiratory journal,Journal Article,Aberrant and Ectopic Cell Populations in Restrictive Allograft Syndrome after Lung Transplantation.,Schupp JC,Germany,4,True,,schupp jc|germany
42419340,10.1016/j.lanmic.2026.101352,2026,post,The Lancet. Microbe,Journal Article,"Non-Aspergillus fumigatus mould infections in lung transplant recipients: an international, multicentre, case-control study.",Husain S,United States,7,True,,husain s|united states
42404562,10.3389/fmed.2026.1851797,2026,post,Frontiers in medicine,Journal Article,Lung transplantation from polytrauma donors: beyond primary graft dysfunction.,Luzzi L,Italy,1,False,,luzzi l|italy
42396924,10.1111/ctr.70605,2026,post,Clinical transplantation,Journal Article,Incidence and Impact of RAS-Like Opacities During Preserved Lung Function After Lung Transplantation.,Raivio PM,,0,False,,raivio pm|
42392829,10.1183/13993003.02380-2025,2026,post,The European respiratory journal,Journal Article,A Transcriptomic Atlas of Chronic Lung Allograft Dysfunction.,Vos R,Belgium,6,True,,vos r|belgium
42392286,10.1016/j.healun.2026.06.016,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Alveolar macrophage activation and polarization signatures in stable lung transplant recipients and chronic lung allograft dysfunction.,Kühnel MP,Germany,2,True,,kühnel mp|germany
42344702,10.1097/txd.0000000000001967,2026,post,Transplantation direct,Journal Article,Prevent or Treat? Evaluating a Delayed Treatment With Nintedanib After Murine Orthotopic Tracheal Transplantation.,Heim C,Germany,1,False,,heim c|germany
42335329,10.1097/tp.0000000000005818,2026,post,Transplantation,Journal Article,Determinants of Baseline Lung Allograft Dysfunction and its Long-term Impact on Pulmonary Function After Bilateral Lung Transplantation.,Sáez-Giménez B,Spain,2,True,,sáez-giménez b|spain
42335172,10.1371/journal.pmed.1004725,2026,post,PLoS medicine,Journal Article,Multi-omics biomarkers of endothelial dysregulation preceding chronic lung allograft dysfunction: A prospective cohort study.,Marsland BJ,Australia,1,True,,marsland bj|australia
42329011,10.36141/svdld.2026.18338,2026,post,"Sarcoidosis, vasculitis, and diffuse lung diseases : official journal of WASOG",Journal Article,Outcomes of Lung Transplantation for Pulmonary Sarcoidosis Across Multiple Eras: A 25-Year Experience from a US Center.,Aryal S,United States,1,False,,aryal s|united states
42317783,10.1016/j.jhlto.2026.100595,2026,post,JHLT open,Journal Article,Size-matching in lung transplantation using the adjusted total lung capacity ratio.,Nasir BS,Canada,2,True,,nasir bs|canada
42309233,10.1016/j.rmed.2026.108944,2026,post,Respiratory medicine,Journal Article,"High-density lipoprotein cholesterol influences the outcomes of lung transplantation in females, but not males.",Ayyat KS,United States,1,False,,ayyat ks|united states
42302385,10.1097/rlu.0000000000006557,2026,post,Clinical nuclear medicine,Journal Article,Diagnostic Value of Quantitative Lung Perfusion Single-photon Emission CT/CT for Chronic Lung Allograft Dysfunction in Patients After Bilateral Lung Transplantation.,Takao H,Japan,1,False,,takao h|japan
42294095,10.3389/ti.2026.16293,2026,post,Transplant international : official journal of the European Society for Organ Transplantation,Journal Article,Blood vessels as primary site of rejection in murine lung transplantation.,Vanaudenaerde BM,Belgium,3,True,,vanaudenaerde bm|belgium
42292970,10.1016/j.jhlto.2026.100585,2026,post,JHLT open,Journal Article,Sotatercept treatment in a patient with end-stage bronchiolitis obliterans syndrome after lung transplantation.,Seethamraju H,,0,False,,seethamraju h|
42271353,10.1186/s12890-026-04337-5,2026,post,BMC pulmonary medicine,Journal Article,Risk factors for nontuberculous mycobacteria infection in lung transplant recipients.,Chen W,Japan,2,True,,chen w|japan
42264281,10.1016/j.healun.2026.06.004,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Approach to prevention and management of chronic lung allograft dysfunction in North American lung transplant centers.,,Canada,1,True,,
42256236,10.1016/j.jhlto.2026.100575,2026,post,JHLT open,Journal Article,Early detection of chronic lung allograft dysfunction with spectral and intrabreath oscillometry.,Chow CW,Canada,2,True,,chow cw|canada
42252026,10.1016/j.ajt.2026.05.2303,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Myeloid-avid mammalian target of rapamycin-inhibiting nanobiologic attenuates allograft fibrosis after lung transplantation.,Kreisel D,United States,1,True,,kreisel d|united states
42244392,10.1111/tan.70786,2026,post,HLA,Journal Article,Non-HLA Autoantibodies Associate With a Positive Flow-Crossmatch Pre- and Chronic Lung Allograft Dysfunction Post- Lung Transplant.,Westall G,Australia,1,False,,westall g|australia
42204416,10.1097/tp.0000000000005773,2026,post,Transplantation,Journal Article,The Downregulation of LKB1 in Small Extracellular Vesicles Elucidates the Downstream Mechanisms Driving Acute Lung Allograft Rejection.,Mohanakumar T,,0,False,,mohanakumar t|
42180136,10.1097/txd.0000000000001958,2026,post,Transplantation direct,Journal Article,B6 Donor Lungs Develop Chronic Lung Allograft Dysfunction-like Pathology Across Histocompatibility Mismatches in Murine Lung Transplantation.,Kurihara C,Japan,1,True,,kurihara c|japan
42163227,10.1186/s12890-026-04346-4,2026,post,BMC pulmonary medicine,Journal Article,The prognostic role of preoperative subcutaneous adipose tissue measurement in lung transplantation.,Wang X,China,1,False,,wang x|china
42153608,10.1111/ctr.70564,2026,post,Clinical transplantation,Journal Article; Comparative Study,Clinical Implications of Early vs Late Development of Donor-Specific Antibodies Among Lung Transplant Recipients: A Single-Center Experience.,Tokman S,United States,1,False,,tokman s|united states
42147823,10.3389/ti.2026.15409,2026,post,Transplant international : official journal of the European Society for Organ Transplantation,Journal Article,Donor-Specific Blood Transfusion Induces a Transfusion-Related Early Protective Effect in Murine Lung Transplantation.,Ceulemans LJ,Belgium,1,False,,ceulemans lj|belgium
42144087,10.1016/j.healun.2026.05.010,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,The need for clarity among the shadows: It is time to further refine the definition of primary graft dysfunction in lung transplant recipients.,Hoetzenecker K,Austria,4,True,,hoetzenecker k|austria
42111374,10.1183/23120541.00781-2025,2026,post,ERJ open research,Journal Article,Proteomic analysis of bronchoalveolar lavage fluid after lung transplantation associates stable allograft function with less lung damage at 12 months.,Magnusson JM,Sweden,2,True,,magnusson jm|sweden
42105629,10.1016/j.ebiom.2026.106285,2026,post,EBioMedicine,Journal Article,Mechanistic analysis of an IRF7-dependent pathway in virus-induced fibrosis in chronic lung allograft dysfunction.,Sharma NS,United States,2,True,,sharma ns|united states
42103135,10.1016/j.jtcvs.2026.04.031,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,A single-center experience of 2000 adult lung transplants.,Nava RG,,0,False,,nava rg|
42089290,10.1093/ajrcmb/aanag048,2026,post,American journal of respiratory cell and molecular biology,Journal Article,Anellovirus-Mediated Interferon Dysregulation Enhances Virus-Induced Lung Injury.,Sharma NS,,0,True,,sharma ns|
42077402,10.1016/j.jhlto.2026.100512,2026,post,JHLT open,Journal Article,Donor-recipient sex differences: Implications for immunologic outcomes but no impact on survival after lung transplantation.,Schuurmans MM,Switzerland,1,False,,schuurmans mm|switzerland
42058137,10.1016/j.jhlto.2026.100548,2026,post,JHLT open,Journal Article,Performance of bilateral bronchoalveolar lavage during routine transplant surveillance bronchoscopy changes management.,Wahidi M,,0,True,,wahidi m|
42057776,10.1016/j.jhlto.2026.100498,2026,post,JHLT open,Journal Article,Acute and chronic allograft dysfunction following pediatric lung transplantation.,Brugha R,United Kingdom,1,True,,brugha r|united kingdom
42044158,10.1172/jci.insight.196651,2026,post,JCI insight,Journal Article,Single-cell multiomic analysis of mesenchymal cells reveals molecular signatures and regulators of lung allograft fibrosis.,Lama VN,United States,1,False,,lama vn|united states
42008465,10.1097/tp.0000000000005703,2026,post,Transplantation,Journal Article,The Natural History of Chronic Lung Allograft Dysfunction in Single and Bilateral Orthotopic Lung Transplant Recipients.,Weigt SS,,0,False,,weigt ss|
42007764,10.1096/fj.202503694r,2026,post,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,Journal Article,A Potential Novel Molecular Interaction in Bronchiolitis Obliterans Syndrome in Lung Transplantation Patients: The Role of SERPINA3 and Osteoprotegerin.,Burgess JK,Netherlands,2,True,,burgess jk|netherlands
42000481,10.1016/j.resinv.2026.101428,2026,post,Respiratory investigation,Journal Article,Short- and long-term outcomes of anti-thymocyte globulin-based regimen for acute antibody-mediated rejection after lung transplantation.,Toyooka S,Japan,1,True,,toyooka s|japan
41994456,10.3389/fmed.2026.1792506,2026,post,Frontiers in medicine,Journal Article,Lung allograft injury improves after gastroesophageal reflux surgery by donor-derived cell-free DNA kinetics.,Ross DJ,United States,1,False,,ross dj|united states
41984803,10.1093/rheumatology/keag200,2026,post,"Rheumatology (Oxford, England)",Journal Article; Multicenter Study,"Lung transplant outcomes in myositis, systemic sclerosis and idiopathic pulmonary fibrosis: a multicentre retrospective analysis.",Huang K,Canada,1,True,,huang k|canada
41977039,10.3390/jcm15072738,2026,post,Journal of clinical medicine,Journal Article,Is Lifelong Physical Activity a Determinant of Lung Transplantation Outcomes?,Żegleń S,Poland,1,False,,żegleń s|poland
41974517,10.1016/j.healun.2026.01.006,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article; Multicenter Study,Acute lung allograft dysfunction predicts lung allograft failure: Construct validity of the 2026 International Society for Heart and Lung Transplantation spirometric definition.,,,0,True,,
41972701,10.3390/cells15070611,2026,post,Cells,Journal Article,Early BAL microRNA Signatures Delineate Biological Trajectories Towards CLAD After Lung Transplantation.,Vaira V,Italy,1,False,,vaira v|italy
41935548,10.1016/j.healun.2026.03.032,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,"Journal Article; Randomized Controlled Trial; Clinical Trial, Phase II; Multicenter Study",The ASSIST CLAD study: A phase 2 randomized controlled trial of mesenchymal stromal cells for new-onset chronic lung allograft dysfunction.,Hopkins PMA,Australia,1,True,rct,hopkins pma|australia
41871693,10.1016/j.trim.2026.102380,2026,post,Transplant immunology,Journal Article,Influence of tacrolimus concentration-to-dose ratio on CLAD risk in lung transplant recipients.,Bedouch P,France,1,True,,bedouch p|france
41864285,10.1016/j.healun.2026.03.011,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Genome-wide association study reveals two novel genetic loci associated with chronic lung allograft dysfunction.,,Belgium,2,True,,
41857706,10.1186/s12890-026-04153-x,2026,post,BMC pulmonary medicine,Journal Article,When BAL meets CT scan: enhancing noninvasive diagnosis of acute cellular rejection after lung transplantation.,Bennett D,Italy,1,False,,bennett d|italy
41816390,10.21037/jtd-2025-1845,2026,post,Journal of thoracic disease,Journal Article,Knowledge structure and academic influence in lung transplantation: a systematically bibliometric analysis of highly cited documents and multi-perspective extensive review.,Pu Q,China,1,False,,pu q|china
41813505,10.1016/j.jcf.2026.03.003,2026,post,Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,Journal Article,The impact of progressive expansion of elexacaftor-tezacaftor-ivacaftor availability on lung transplant for cystic fibrosis in France.,Burgel PR,France,1,False,,burgel pr|france
41809978,10.1016/j.jhlto.2026.100519,2026,post,JHLT open,Journal Article,Mapping acute lung allograft dysfunction of unknown cause after lung transplantation: Insights from clinical and radiological patterns.,Bennett D,Italy,1,True,,bennett d|italy
41798058,10.1016/j.jhlto.2026.100513,2026,post,JHLT open,Journal Article,Glucagon-like peptide-1 receptor agonist use and clinical outcomes after lung transplantation: A single-center cohort study.,Kurihara C,,0,False,,kurihara c|
41780717,10.1016/j.jtcvs.2026.02.029,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,Large airway bronchial wash lipidomics as novel biomarkers for chronic lung allograft dysfunction.,D'Ovidio F,,0,False,,d'ovidio f|
41759575,10.1016/j.jmoldx.2026.02.002,2026,post,The Journal of molecular diagnostics : JMD,Journal Article,Different States of Lung Allograft Injury Assessed by Plasma Donor-Derived and Total Cell-Free DNA.,Mitchell ME,,0,False,,mitchell me|
41756159,10.1016/j.jhlto.2026.100501,2026,post,JHLT open,Journal Article,Lung retransplantation during the Lung Allocation Score era: Outcomes from a large single center.,Arcasoy SM,,0,True,,arcasoy sm|
41756158,10.1016/j.jhlto.2026.100508,2026,post,JHLT open,Journal Article,Lung retransplantation after initial single lung transplantation.,Harano T,,0,True,registry,harano t|
41753297,10.3390/jcm15041608,2026,post,Journal of clinical medicine,Journal Article,HLA-DQ7 De Novo Donor-Specific Antibodies Are Associated with Increased Risk of Chronic Lung Allograft Dysfunction After Lung Transplantation.,Kauke T,Germany,1,True,,kauke t|germany
41743830,10.1097/txd.0000000000001913,2026,post,Transplantation direct,Journal Article,Lower Limit of Normal of Pulmonary Function to Define Baseline Lung Allograft Dysfunction.,Gottlieb J,Germany,2,True,,gottlieb j|germany
41740941,10.1016/j.healun.2026.02.1666,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Human lung allografts experience persistent fibrogenic shift following acute cellular rejection.,Hayes D,Canada,1,False,,hayes d|canada
41739903,10.1126/scitranslmed.adu0358,2026,post,Science translational medicine,Journal Article,Lymphatic disruption drives lung transplant fibrosis through interleukin-1-mediated hyaluronan accumulation.,Kreisel D,United States,1,False,,kreisel d|united states
41738587,10.1111/tid.70190,2026,post,Transplant infectious disease : an official journal of the Transplantation Society,Journal Article,The Role of Nontuberculous Mycobacteria in Patients With Cystic Fibrosis Advanced Lung Disease.,Mueller NJ,Switzerland,2,True,,mueller nj|switzerland
41738213,10.1093/ajrcmb/aanag017,2026,post,American journal of respiratory cell and molecular biology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Circulating B7H6 is associated with reduced NKp30 receptor expression and improved lung transplant recipient survival.,Calabrese DR,United States,1,False,,calabrese dr|united states
41738136,10.1093/ajrccm/aamaf055,2026,post,American journal of respiratory and critical care medicine,Journal Article; Multicenter Study,Clinical features associated with chronic lung allograft dysfunction progression in a multicenter cohort.,Palmer SM,United States,1,True,,palmer sm|united states
41735096,10.1016/j.ajt.2026.01.017,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Uncontrolled donation after circulatory death lung transplantation program: Clinical outcomes and perspectives for implementation.,Nosotti M,Italy,1,False,,nosotti m|italy
41701147,10.1093/ejcts/ezag095,2026,post,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Journal Article,Safety and Effectiveness of Low-Dose Valganciclovir Prophylaxis in Cytomegalovirus Seropositive Lung Transplant Recipients.,Lemström KB,,0,True,,lemström kb|
41695191,10.1016/j.jhlto.2025.100449,2026,post,JHLT open,Journal Article,"Cytomegalovirus infections in thoracic organ transplant recipients: Updates on prevention, treatment, and immune monitoring.",Wolfe CR,,0,False,,wolfe cr|
41690369,10.1016/j.ajt.2026.02.002,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Airway molecular signatures in antibody-mediated lung transplant rejection.,Greenland JR,United States,1,False,,greenland jr|united states
41679649,10.1016/j.ajt.2026.01.025,2026,post,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Immune gene correlation networks differentiate both chronic lung allograft dysfunction and survival.,McDyer JF,United States,2,True,,mcdyer jf|united states
41672090,10.1002/resp.70224,2026,post,"Respirology (Carlton, Vic.)",Journal Article; Multicenter Study,Lower CLAD and Good Survival in Lung Transplant Recipients With Pneumoconiosis: A Spanish National Multicentre Case-Control Study.,León-Jiménez A,Spain,3,True,,león-jiménez a|spain
41669771,10.1093/ejcts/ezag094,2026,post,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Journal Article,Long-term Outcome of Lung Retransplantation for Chronic Lung Allograft Dysfunction After En-bloc Heart and Lung Transplantation.,Fadel E,France,1,False,,fadel e|france
41663041,10.1016/j.healun.2026.01.028,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Spatial transcriptomics reveals coordinated endothelial and epithelial activator protein-1 activation in chronic lung allograft dysfunction.,Sharma NS,,0,False,,sharma ns|
41630968,10.1016/j.jhlto.2025.100469,2026,post,JHLT open,Journal Article,Survival improvement with sirolimus plus tacrolimus immunosuppression for treatment of bronchiolitis obliterans syndrome after lung transplantation.,Iacono A,,0,True,registry,iacono a|
41624215,10.1016/j.jhlto.2025.100473,2026,post,JHLT open,Journal Article,Abnormal spirometry 1 year after lung transplantation may identify patients at risk for chronic lung allograft dysfunction in a multicenter cohort.,Snyder LD,,0,True,,snyder ld|
41624210,10.1016/j.jhlto.2025.100392,2026,post,JHLT open,Journal Article,Bronchial stenosis after lung transplant: Risk factors and clinical outcomes.,Woolley AE,,0,False,,woolley ae|
41619918,10.1016/j.healun.2026.01.022,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article; Multicenter Study; Observational Study,Donor-derived cell-free DNA associated with increased risk of chronic lung allograft dysfunction and mortality: Are absolute levels better than percentage?,Agbor-Enoh S,,0,True,,agbor-enoh s|
41574224,10.3389/frtra.2025.1704682,2025,post,Frontiers in transplantation,Journal Article,"The critical relationship between tacrolimus levels, acute kidney injury, and early chronic lung allograft dysfunction.",Behr J,Germany,2,True,,behr j|germany
41571047,10.1016/j.jtcvs.2026.01.009,2026,post,The Journal of thoracic and cardiovascular surgery,Journal Article,Optimal size matching leads to a favorable outcome for single-lobe living-donor lung transplantation.,Date H,Japan,1,False,,date h|japan
41561943,10.3389/fmed.2025.1692881,2025,post,Frontiers in medicine,Journal Article,Immunoglobulin levels of children with bronchiolitis obliterans syndrome after hematopoietic cell transplantation.,Zhang S,China,1,False,,zhang s|china
41514232,10.1186/s12890-025-04101-1,2026,post,BMC pulmonary medicine,Journal Article,Assessing health-related quality of life in patients with interstitial lung diseases with and without lung transplantation using the GR-Scale.,Behr J,Germany,2,True,,behr j|germany
41510176,10.1016/j.jhlto.2025.100458,2026,post,JHLT open,Journal Article,"Venous thromboembolism in lung transplant recipients: timing and clinical impact, a 10-year cohort analysis.",Post MC,Netherlands,1,False,,post mc|netherlands
41492018,10.1042/cs20258651,2026,post,"Clinical science (London, England : 1979)","Journal Article; Research Support, Non-U.S. Gov't",Analysis of BAL extracellular vesicles unveils NF-κB activation at the onset of chronic lung allograft dysfunction.,Vaira V,Italy,1,False,,vaira v|italy
41487300,10.1016/j.jhlto.2025.100445,2026,post,JHLT open,Journal Article,Prognostic impact of restrictive ventilatory defects in chronic lung allograft dysfunction without restrictive allograft syndrome-like opacities: Stratification of emerging undefined and unclassified phenotypes.,Hatabu H,Japan,1,True,,hatabu h|japan
41457728,,2025,post,The Israel Medical Association journal : IMAJ,Journal Article,Pediatric Lung Transplantation in Israel: 29 Cases from a Single Center's Experience.,Kramer MR,Israel,1,True,,kramer mr|israel
41453696,10.1016/j.healun.2025.12.017,2026,post,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Lung microbiome quantification and bacterial density as prognostic markers in lung transplantation.,Coburn B,Canada,1,False,,coburn b|canada
41431410,10.3349/ymj.2024.0475,2026,post,Yonsei medical journal,Journal Article; Comparative Study,Outcomes of Lung Transplantation for Bronchiolitis Obliterans after Hematopoietic Stem Cell Transplantation Compared with Those for Idiopathic Pulmonary Fibrosis.,Lee JG,South Korea,1,False,,lee jg|south korea
41415034,10.1097/txd.0000000000001894,2026,post,Transplantation direct,Journal Article,Plasma Cell-free DNA Associated With Risk of Mortality and Chronic Lung Allograft Dysfunction Among Lung Transplant Recipients With Aspergillus.,Agbor-Enoh S,,0,True,,agbor-enoh s|
41412718,10.1183/13993003.01738-2025,2026,post,The European respiratory journal,Journal Article,Exploring fibroblast activation protein as an early biomarker in chronic lung allograft dysfunction.,Kurihara C,United States,2,True,,kurihara c|united states
41402066,10.26508/lsa.202503312,2026,post,Life science alliance,"Journal Article; Research Support, Non-U.S. Gov't",Cystatin C prevents tissue injury after lung transplantation.,Yildirim AÖ,Germany,3,True,,yildirim aö|germany
41396406,10.1007/s10047-025-01541-8,2025,post,Journal of artificial organs : the official journal of the Japanese Society for Artificial Organs,Evaluation Study; Journal Article,Feasibility of anticoagulation-free peripheral veno-arterial extracorporeal membrane oxygenation in re-do lung transplantation.,Yamanouchi D,Japan,2,True,,yamanouchi d|japan
41390918,10.1093/ejcts/ezaf446,2026,post,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Journal Article,Effect of Donor-Recipient Age Difference on Living-Donor Lung Transplantation Outcomes.,Toyooka S,Japan,1,False,,toyooka s|japan
41375618,10.3390/jcm14238315,2025,post,Journal of clinical medicine,Journal Article,Intraoperative Extracorporeal Life Support for Bilateral Sequential Lung Transplantation.,Samarzija M,,0,False,,samarzija m|
41342001,10.1016/j.jhlto.2025.100420,2026,post,JHLT open,Journal Article,Fungal colonization and CLAD in lung transplant recipients: Implications for antifungal prophylaxis and graft survival.,Anjum F,,0,False,,anjum f|
41337937,10.1016/j.ebiom.2025.106046,2025,post,EBioMedicine,Journal Article,Development and validation of a bronchoalveolar lavage genomic classifier for acute cellular rejection.,Belperio JA,United States,2,True,,belperio ja|united states
41332351,10.1002/ppul.71421,2025,post,Pediatric pulmonology,Journal Article,Belumosudil in the Treatment of Restrictive Allograft Syndrome After Lung Transplantation-A Case Report.,Ju C,China,1,False,,ju c|china
41325942,10.1016/j.trim.2025.102330,2026,post,Transplant immunology,Journal Article; Multicenter Study,Conversion to belatacept-based immunosuppression as a calcineurin sparing regimen in lung transplant: A multi-institutional retrospective study.,Emtiazjoo A,United States,1,True,,emtiazjoo a|united states
41321814,10.1016/j.jhlto.2025.100415,2026,post,JHLT open,Journal Article,Pathologists' experience and routine practice in high-volume lung transplant centers: An international survey.,Levine DJ,Australia,10,True,,levine dj|australia
41312224,10.3389/ti.2025.15495,2025,post,Transplant international : official journal of the European Society for Organ Transplantation,"Journal Article; Research Support, Non-U.S. Gov't",Characteristics and Outcomes of 1500 Lung Transplantations in the Leuven Lung Transplant Program: Turning Past Lessons Into Tomorrow's Foundations.,,Belgium,1,False,,
41309269,10.1183/13993003.00182-2025,2026,post,The European respiratory journal,Journal Article; Observational Study,Reduced lung fluid club cell secretory protein informs chronic lung allograft dysfunction risk.,Todd JL,United States,2,True,,todd jl|united states
41256738,10.3389/ti.2025.15350,2025,post,Transplant international : official journal of the European Society for Organ Transplantation,Journal Article,Efficacy of Intravenous Immunoglobulin in Eliminating De Novo Donor-Specific Antibodies After Lung Transplantation: Importance of Early Intervention.,Kauke T,Germany,1,False,,kauke t|germany
41232942,10.1183/13993003.02154-2024,2026,post,The European respiratory journal,"Journal Article; Randomized Controlled Trial; Multicenter Study; Clinical Trial, Phase II","A European multicentre, randomised controlled trial of pirfenidone in bronchiolitis obliterans syndrome after bilateral lung transplantation.",Gottlieb J,Germany,7,True,rct,gottlieb j|germany
41232781,10.1016/j.trim.2025.102326,2025,post,Transplant immunology,Journal Article,Characteristics linking ischemia-reperfusion to chronic lung allograft dysfunction in lung transplantation: A single-cell bioinformatics analysis.,Wu K,China,1,False,,wu k|china
41217841,10.1172/jci188891,2026,post,The Journal of clinical investigation,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",Impaired complement regulation drives chronic lung allograft dysfunction after lung transplantation.,Gelman AE,United States,1,False,,gelman ae|united states
41211870,10.1097/tp.0000000000005566,2026,post,Transplantation,Journal Article,Pseudomonas aeruginosa -driven Humoral Immune Activation in Lung Transplantation: A Treatable Trait to Avert Chronic Lung Allograft Dysfunction?,Vos R,Belgium,1,False,,vos r|belgium
41158500,10.1183/23120541.01135-2024,2025,post,ERJ open research,Journal Article,Multistate modelling of baseline lung allograft dysfunction in lung transplant recipients.,Mümmler C,Germany,2,True,,mümmler c|germany
41158494,10.1183/23120541.00006-2025,2025,post,ERJ open research,Journal Article,Is MUC5B rs35705950 promoter polymorphism associated with chronic lung allograft dysfunction?,,Belgium,2,True,,
41146914,10.1016/j.jhlto.2025.100399,2025,post,JHLT open,Journal Article,Pharmacological inhibition of toll-like receptor 4 suppresses ischemia-reperfusion injury-induced inflammation and improves lung allograft function after transplantation.,Date H,Japan,1,False,,date h|japan
41134996,10.1513/annalsats.202508-862oc,2026,post,Annals of the American Thoracic Society,Journal Article,Retransplant- and bronchiolitis obliterans syndrome-free survival among COVID lung transplant recipients: a national cohort study.,Goldberg HJ,United States,1,True,registry,goldberg hj|united states
41122970,10.1172/jci.insight.197579,2025,post,JCI insight,Journal Article,Single-cell dissection of chronic lung allograft dysfunction reveals convergent and distinct fibrotic mechanisms.,Bharat A,United States,1,False,,bharat a|united states
