pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key
16510454,10.1183/09031936.06.00105505,2006,pre,The European respiratory journal,"Journal Article; Research Support, Non-U.S. Gov't",A single-season prospective study of respiratory viral infections in lung transplant recipients.,Dummer S,United States,1,False,,dummer s|united states
16477220,10.1097/01.tp.0000195781.02268.5e,2006,pre,Transplantation,Clinical Trial; Journal Article,Conversion to sirolimus and mycophenolate can attenuate the progression of bronchiolitis obliterans syndrome and improves renal function after lung transplantation.,Wahlers T,Germany,1,True,,wahlers t|germany
16468972,10.1111/j.1600-6143.2006.01222.x,2006,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Comparative Study; Journal Article,The dynamics and associations of airway neutrophilia post lung transplantation.,Snell GI,Australia,1,True,,snell gi|australia
16468969,10.1111/j.1600-6143.2005.01212.x,2006,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",CMV-specific CD8 T-cell dynamics in the blood and the lung allograft reflect viral reactivation following lung transplantation.,Brooks A,Australia,1,True,,brooks a|australia
16433773,10.1111/j.1600-6143.2005.01159.x,2006,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Impact of lung transplant operation on bronchiolitis obliterans syndrome in patients with chronic obstructive pulmonary disease.,Keshavjee S,United States,1,False,,keshavjee s|united states
16433771,10.1111/j.1600-6143.2005.01134.x,2006,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial,"Everolimus versus azathioprine in maintenance lung transplant recipients: an international, randomized, double-blind clinical trial.",,Australia,1,True,rct,
16407509,10.1056/nejmoa043204,2006,pre,The New England journal of medicine,"Journal Article; Randomized Controlled Trial; Research Support, N.I.H., Extramural",A randomized trial of inhaled cyclosporine in lung-transplant recipients.,Griffith BP,United States,1,True,rct,griffith bp|united states
16400684,10.1002/pmic.200500105,2006,pre,Proteomics,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Analysis of chronic lung transplant rejection by MALDI-TOF profiles of bronchoalveolar lavage fluid.,Nelsestuen GL,United States,1,False,,nelsestuen gl|united states
16387465,10.1016/j.ejrad.2005.11.013,2006,pre,European journal of radiology,Journal Article,Performance of long-term CT monitoring in diagnosing bronchiolitis obliterans after lung transplantation.,Bjørtuft O,Norway,1,False,,bjørtuft o|norway
16386609,10.1016/j.transproceed.2005.09.191,2005,pre,Transplantation proceedings,Journal Article,Rapamycin in lung transplantation.,Alvarez MJ,Spain,1,True,,alvarez mj|spain
16386608,10.1016/j.transproceed.2005.09.192,2005,pre,Transplantation proceedings,Comparative Study; Controlled Clinical Trial; Journal Article,Comparative study of basiliximab treatment in lung transplantation.,Lemos C,Spain,1,False,,lemos c|spain
16386606,10.1016/j.transproceed.2005.09.190,2005,pre,Transplantation proceedings,Journal Article,Steroid withdrawal in lung transplant recipients.,Tarazona V,Spain,1,True,,tarazona v|spain
16368382,10.1016/j.athoracsur.2005.08.010,2006,pre,The Annals of thoracic surgery,Comparative Study; Journal Article,Are heart-lung transplant recipients protected from developing bronchiolitis obliterans syndrome?,Reitz BA,United States,1,False,,reitz ba|united states
16364880,10.1016/j.healun.2005.07.005,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Health-related quality of life in two hundred-eighty lung transplant recipients.,Strueber M,Germany,1,False,,strueber m|germany
16364877,10.1016/j.healun.2005.06.019,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Comparative Study; Journal Article,Does Perfadex affect outcomes in clinical lung transplantation?,Kelly RF,United States,1,True,,kelly rf|united states
16364859,10.1016/j.healun.2005.06.027,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Clinical Trial; Journal Article,Intravenous ribavirin is a safe and cost-effective treatment for respiratory syncytial virus infection after lung transplantation.,Malouf MA,Australia,1,False,,malouf ma|australia
16340783,10.1097/01.tp.0000181161.60638.fa,2005,pre,Transplantation,"Journal Article; Research Support, Non-U.S. Gov't",The significance of a single episode of minimal acute rejection after lung transplantation.,Walter MJ,United States,1,False,,walter mj|united states
16315786,,2005,pre,"Sarcoidosis, vasculitis, and diffuse lung diseases : official journal of WASOG",Journal Article,Lung transplantation for end-stage pulmonary sarcoidosis: outcome in a series of seven consecutive patients.,Iversen M,Denmark,1,False,,iversen m|denmark
16303014,10.1111/j.1600-6143.2005.01103.x,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Human herpesvirus 6 in bronchalveolar lavage fluid after lung transplantation: a risk factor for bronchiolitis obliterans syndrome?,,Germany,1,False,,
16297789,10.1016/j.healun.2005.03.015,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Comparative Study; Journal Article,Multi-organ transplantation: is there a protective effect against acute and chronic rejection?,George JF,United States,1,False,,george jf|united states
16272353,10.4049/jimmunol.175.10.6931,2005,pre,"Journal of immunology (Baltimore, Md. : 1950)",Journal Article,CXCR2/CXCR2 ligand biology during lung transplant ischemia-reperfusion injury.,Strieter RM,United States,1,False,,strieter rm|united states
16226252,10.1016/j.yexmp.2005.08.008,2005,pre,Experimental and molecular pathology,Comparative Study; Journal Article,Transplant-related bronchiolitis obliterans (BOS) demonstrates unique cytokine profiles compared to toxicant-induced BOS.,Herndon B,United States,1,False,,herndon b|united states
16223674,10.1016/j.trim.2005.05.001,2005,pre,Transplant immunology,"Journal Article; Research Support, N.I.H., Extramural",C4d deposition in lung allografts is associated with circulating anti-HLA alloantibody.,Yousem SA,,0,False,,yousem sa|
16210132,10.1016/j.healun.2005.01.007,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,"Journal Article; Research Support, Non-U.S. Gov't",Early changes in basement membrane thickness in airway walls post-lung transplantation.,Williams TJ,Australia,1,False,,williams tj|australia
16210131,10.1016/j.healun.2004.11.038,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,"Journal Article; Research Support, Non-U.S. Gov't",C4d staining of pulmonary allograft biopsies: an immunoperoxidase study.,Fishbein MC,United States,1,False,,fishbein mc|united states
16210129,10.1016/j.healun.2004.11.008,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Airway vascular changes after lung transplant: potential contribution to the pathophysiology of bronchiolitis obliterans syndrome.,Snell GI,Australia,1,False,,snell gi|australia
16181849,10.1016/j.athoracsur.2005.03.106,2005,pre,The Annals of thoracic surgery,"Journal Article; Research Support, Non-U.S. Gov't",Prevalence of gastroesophageal reflux in end-stage lung disease candidates for lung transplant.,Keshavjee S,Canada,1,False,,keshavjee s|canada
16162732,10.1378/chest.128.3.1379,2005,pre,Chest,Journal Article,Iron accumulation in lung allografts is associated with acute rejection but not with adverse outcome.,Boehler A,Switzerland,1,False,,boehler a|switzerland
16162731,10.1378/chest.128.3.1371,2005,pre,Chest,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",Health-related quality of life following single or bilateral lung transplantation: a 7-year comparison to functional outcome.,Nicod LP,Switzerland,1,False,,nicod lp|switzerland
16162195,10.1111/j.1600-6143.2005.01049.x,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Inflammation patterns in allogeneic and autologous airway tissue of lung transplant recipients.,Boehler A,Switzerland,1,False,,boehler a|switzerland
16162104,10.1111/j.1432-2277.2005.00147.x,2005,pre,Transplant international : official journal of the European Society for Organ Transplantation,Journal Article,Rat cytomegalovirus and Listeria monocytogenes infection enhance chronic rejection after allogenic rat lung transplantation.,Steinhoff G,Germany,1,False,,steinhoff g|germany
16143268,10.1016/j.healun.2004.08.006,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Clinical Trial; Journal Article,Long-term azithromycin use for treatment of bronchiolitis obliterans syndrome in lung transplant recipients.,Kramer MR,Israel,1,False,,kramer mr|israel
